,bottle,transistor,metal_nut
0,0.00034096434395998926,0.0010397099338212608,0.0022979242681296177
1,0.00047868731296289246,-0.0009201997611634204,0.0023587947438038492
2,0.000333988381646555,0.0031301040794449913,0.004629338796381869
3,0.0024278384879270845,0.0027176267378452947,0.010225475129255607
4,0.0003409395510557781,0.0027807262930057046,0.006343806179170593
5,0.0007106770428600971,0.008600956892945414,0.0009560287318709874
6,0.00016068750313354602,-0.000951922957542169,0.0018981228469168905
7,0.0006847539167009012,0.004871021861423963,0.0033549888706178033
8,0.0008727567950828814,0.007177333487236888,0.007398948865434536
9,0.00011185562478777111,0.0021873909271450756,0.0017207596478021243
10,0.0033119626665302953,0.0010580752058061045,0.0030993668983753477
11,0.001153935061586564,0.004034142210528483,0.005842670639983745
12,0.001161467789746018,0.004352664710024415,0.004768010886832244
13,0.0007643060764086125,-0.0004392486332090254,0.0009388752474572455
14,0.0043586523459558935,0.003785820905857699,0.017593532903059872
15,0.0005169350461528369,0.0004667602740774009,0.0011459686711844015
16,0.0002215469084763111,0.002098838809209469,0.0016447628816906494
17,0.0008974473836098618,0.0027402900827632193,0.002038833538414016
18,0.0008933097949156421,0.00222361055757736,0.0022368292557851666
19,0.0004411492588867564,0.0017551827863336498,0.002678531147359201
20,0.0010992519825924196,0.015103980784112014,0.005730079132058474
21,0.004458386690612862,0.0028824647924217497,0.0009429153865788316
22,0.0006916260498435559,0.0017316244139243078,0.004225424558501315
23,0.0014442511062222605,0.0020541752830977034,0.0006504876592342186
24,0.00021858407698649438,0.00020116577693648127,0.0035338576979371625
25,0.0021322019947537982,0.00018282209408360114,0.003090490291559167
26,0.001465552584182572,0.000598813352141662,0.010868499034875226
27,0.00041735032855416687,0.00039198722219106286,0.0009569977699912153
28,0.0012632073159276243,0.005126680179955026,0.002643031379221801
29,0.0004942327649242554,0.010524779095857435,0.0024891828972810983
30,0.0010840296829331593,0.0038849399239220626,0.00267852347010078
31,0.0005690171279070603,0.0019558280472494007,0.00094796320777261
32,0.0005886522969348699,0.0021581642593784256,0.0025129027215828508
33,0.00014901986207386622,0.0005770432575610274,0.0014175960362411422
34,0.00027374280345782154,0.0011750621632860003,0.0007502366021998977
35,6.0404595611703485e-05,-0.0003401176650627372,0.0005075277661578115
36,0.0008963334171013803,0.0010678932585147145,0.003929461479908025
37,0.0004911234420723979,0.0020473565327337644,0.003720184712921274
38,0.0008363892838355961,0.002266509025878697,0.0014750873749900988
39,0.0005256221369490666,0.0033375130793931542,0.0029573188279563936
